route_pattern,example_url,page_type,source_file,rendering_mode,indexability_expected,found_status_behavior,canonical_expected,canonical_found,robots_meta_found,x_robots_tag_found,title_found,meta_description_found,h1_found,structured_data_types_found,sitemap_included,sitemap_lastmod,hreflang_found,og_tags_found,primary_content_server_visible,answer_block_found,internal_links_found,image_alt_quality,performance_risk,priority,notes
/api/scrape/insights,https://www.mothebroker.com/api/scrape/insights,api,app/api/scrape/insights/route.ts,route handler,noindex or non-indexable,"route handler, inspect manually",none or self if served,not detected in file,,,not detected,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,indexable
/areas,https://www.mothebroker.com/areas,area,app/areas/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas,direct or helper,,,yes,yes,yes,,yes,2026-04-15T17:12:44.833Z,yes,not detected,"likely yes, server source",not detected,yes,no local image alt detected,low,P3,indexable
/areas/aliso-viejo-cash-out-refinance,https://www.mothebroker.com/areas/aliso-viejo-cash-out-refinance,area,app/areas/aliso-viejo-cash-out-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/aliso-viejo-cash-out-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.761Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/aliso-viejo-rate-term-refinance,https://www.mothebroker.com/areas/aliso-viejo-rate-term-refinance,area,app/areas/aliso-viejo-rate-term-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/aliso-viejo-rate-term-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.762Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/anaheim-hills,https://www.mothebroker.com/areas/anaheim-hills,area,app/areas/anaheim-hills/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/anaheim-hills,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.422Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/anaheim-mortgage-broker,https://www.mothebroker.com/areas/anaheim-mortgage-broker,area,app/areas/anaheim-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/anaheim-mortgage-broker,direct or helper,,,yes,yes,yes,,yes,2026-04-08T05:12:25.702Z,yes,not detected,"likely yes, server source",yes,yes,no local image alt detected,low,P3,indexable
/areas/anaheim-mortgage-rates,https://www.mothebroker.com/areas/anaheim-mortgage-rates,area,app/areas/anaheim-mortgage-rates/page.tsx,server component or static,noindex or non-indexable,noindex or non-indexable,none or self if served,direct or helper,"noindex, nofollow","noindex, nofollow",yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,noindex
/areas/auburn-wa,https://www.mothebroker.com/areas/auburn-wa,area,app/areas/auburn-wa/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/auburn-wa,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.423Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/bakersfield,https://www.mothebroker.com/areas/bakersfield,area,app/areas/bakersfield/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/bakersfield,direct or helper,,,yes,yes,not detected,,yes,2026-04-15T23:52:40.476Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/brea,https://www.mothebroker.com/areas/brea,area,app/areas/brea/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/brea,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.423Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/california,https://www.mothebroker.com/areas/california,area,app/areas/california/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/california,direct or helper,,,yes,yes,yes,,yes,2026-03-31T05:12:20.763Z,yes,not detected,"likely yes, server source",not detected,yes,no local image alt detected,low,P3,indexable
/areas/chula-vista,https://www.mothebroker.com/areas/chula-vista,area,app/areas/chula-vista/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/chula-vista,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.423Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/corona,https://www.mothebroker.com/areas/corona,area,app/areas/corona/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/corona,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.424Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/costa-mesa-mortgage-broker,https://www.mothebroker.com/areas/costa-mesa-mortgage-broker,area,app/areas/costa-mesa-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/costa-mesa-mortgage-broker,direct or helper,,,yes,yes,yes,,yes,2026-04-15T17:12:44.833Z,yes,not detected,"likely yes, server source",yes,yes,no local image alt detected,low,P3,indexable
/areas/dana-point-cash-out-refinance,https://www.mothebroker.com/areas/dana-point-cash-out-refinance,area,app/areas/dana-point-cash-out-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/dana-point-cash-out-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.763Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/dana-point-mortgage-broker,https://www.mothebroker.com/areas/dana-point-mortgage-broker,area,app/areas/dana-point-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/dana-point-mortgage-broker,direct or helper,yes,,yes,not detected,not detected,,no,,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/dana-point-rate-term-refinance,https://www.mothebroker.com/areas/dana-point-rate-term-refinance,area,app/areas/dana-point-rate-term-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/dana-point-rate-term-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.764Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/elk-grove,https://www.mothebroker.com/areas/elk-grove,area,app/areas/elk-grove/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/elk-grove,direct or helper,,,yes,yes,not detected,,yes,2026-04-15T23:52:40.476Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/escondido,https://www.mothebroker.com/areas/escondido,area,app/areas/escondido/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/escondido,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.424Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/everett,https://www.mothebroker.com/areas/everett,area,app/areas/everett/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/everett,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.424Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/federal-way,https://www.mothebroker.com/areas/federal-way,area,app/areas/federal-way/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/federal-way,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.424Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/folsom,https://www.mothebroker.com/areas/folsom,area,app/areas/folsom/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/folsom,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.425Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/fountain-valley-mortgage-broker,https://www.mothebroker.com/areas/fountain-valley-mortgage-broker,area,app/areas/fountain-valley-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/fountain-valley-mortgage-broker,direct or helper,yes,,yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/fountain-valley-mortgage-rates,https://www.mothebroker.com/areas/fountain-valley-mortgage-rates,area,app/areas/fountain-valley-mortgage-rates/page.tsx,server component or static,noindex or non-indexable,noindex or non-indexable,none or self if served,direct or helper,yes,"noindex, nofollow",yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,noindex
/areas/fresno,https://www.mothebroker.com/areas/fresno,area,app/areas/fresno/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/fresno,direct or helper,,,yes,yes,not detected,,yes,2026-04-15T23:52:40.476Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/fullerton,https://www.mothebroker.com/areas/fullerton,area,app/areas/fullerton/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/fullerton,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.425Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/fullerton-mortgage-broker,https://www.mothebroker.com/areas/fullerton-mortgage-broker,area,app/areas/fullerton-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/fullerton-mortgage-broker,not detected in file,yes,,yes,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/garden-grove-mortgage-broker,https://www.mothebroker.com/areas/garden-grove-mortgage-broker,area,app/areas/garden-grove-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/garden-grove-mortgage-broker,direct or helper,yes,,yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/garden-grove-mortgage-rates,https://www.mothebroker.com/areas/garden-grove-mortgage-rates,area,app/areas/garden-grove-mortgage-rates/page.tsx,server component or static,noindex or non-indexable,noindex or non-indexable,none or self if served,direct or helper,yes,"noindex, nofollow",yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,noindex
/areas/huntington-beach-mortgage-broker,https://www.mothebroker.com/areas/huntington-beach-mortgage-broker,area,app/areas/huntington-beach-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/huntington-beach-mortgage-broker,direct or helper,,,yes,yes,yes,,yes,2026-04-15T17:12:44.833Z,yes,not detected,"likely yes, server source",yes,yes,no local image alt detected,low,P3,indexable
/areas/irvine,https://www.mothebroker.com/areas/irvine,area,app/areas/irvine/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine,direct or helper,yes,,yes,yes,not detected,FAQPage|Question|Answer,yes,2026-03-31T05:12:20.769Z,yes,yes,"likely yes, server source",yes,not detected,no local image alt detected,low,P2,indexable
/areas/irvine-cash-out-refinance,https://www.mothebroker.com/areas/irvine-cash-out-refinance,area,app/areas/irvine-cash-out-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-cash-out-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.766Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/irvine-mortgage-broker,https://www.mothebroker.com/areas/irvine-mortgage-broker,area,app/areas/irvine-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-mortgage-broker,direct or helper,,,yes,yes,yes,,yes,2026-04-15T17:12:44.833Z,yes,not detected,"likely yes, server source",yes,yes,no local image alt detected,low,P3,indexable
/areas/irvine-mortgage-rates,https://www.mothebroker.com/areas/irvine-mortgage-rates,area,app/areas/irvine-mortgage-rates/page.tsx,server component or static,noindex or non-indexable,noindex or non-indexable,none or self if served,direct or helper,"noindex, nofollow","noindex, nofollow",yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,noindex
/areas/irvine-neighborhoods,https://www.mothebroker.com/areas/irvine-neighborhoods,area,app/areas/irvine-neighborhoods/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-neighborhoods,direct or helper,yes,,yes,yes,not detected,FAQPage|Question|Answer,yes,2026-04-15T17:12:44.833Z,yes,yes,"likely yes, server source",yes,not detected,no local image alt detected,low,P2,indexable
/areas/irvine-neighborhoods/northwood-mortgage-broker,https://www.mothebroker.com/areas/irvine-neighborhoods/northwood-mortgage-broker,area,app/areas/irvine-neighborhoods/northwood-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-neighborhoods/northwood-mortgage-broker,direct or helper,,,yes,yes,yes,AIOOptimization|EnhancedLocalSchema|AdvancedSchema,yes,2026-04-08T05:12:25.704Z,yes,not detected,"likely yes, server source",yes,not detected,no local image alt detected,low,P3,indexable
/areas/irvine-neighborhoods/quail-hill-mortgage-broker,https://www.mothebroker.com/areas/irvine-neighborhoods/quail-hill-mortgage-broker,area,app/areas/irvine-neighborhoods/quail-hill-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-neighborhoods/quail-hill-mortgage-broker,direct or helper,,,yes,yes,yes,AIOOptimization|EnhancedLocalSchema|AdvancedSchema,yes,2026-04-15T17:12:44.833Z,yes,not detected,"likely yes, server source",yes,not detected,no local image alt detected,low,P3,indexable
/areas/irvine-neighborhoods/woodbridge-mortgage-broker,https://www.mothebroker.com/areas/irvine-neighborhoods/woodbridge-mortgage-broker,area,app/areas/irvine-neighborhoods/woodbridge-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-neighborhoods/woodbridge-mortgage-broker,direct or helper,,,yes,yes,yes,AIOOptimization|EnhancedLocalSchema|AdvancedSchema,yes,2026-04-08T05:12:25.705Z,yes,not detected,"likely yes, server source",yes,not detected,no local image alt detected,low,P3,indexable
/areas/irvine-rate-term-refinance,https://www.mothebroker.com/areas/irvine-rate-term-refinance,area,app/areas/irvine-rate-term-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-rate-term-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.768Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/irvine-unified-school-district-mortgage-broker,https://www.mothebroker.com/areas/irvine-unified-school-district-mortgage-broker,area,app/areas/irvine-unified-school-district-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/irvine-unified-school-district-mortgage-broker,direct or helper,,,yes,yes,yes,AIOOptimization|EnhancedLocalSchema|AdvancedSchema,yes,2026-04-15T17:12:44.833Z,yes,not detected,"likely yes, server source",yes,not detected,no local image alt detected,low,P3,indexable
/areas/kent-wa,https://www.mothebroker.com/areas/kent-wa,area,app/areas/kent-wa/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/kent-wa,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.425Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/ladera-ranch,https://www.mothebroker.com/areas/ladera-ranch,area,app/areas/ladera-ranch/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/ladera-ranch,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.425Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/laguna-hills,https://www.mothebroker.com/areas/laguna-hills,area,app/areas/laguna-hills/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/laguna-hills,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.426Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/laguna-niguel-cash-out-refinance,https://www.mothebroker.com/areas/laguna-niguel-cash-out-refinance,area,app/areas/laguna-niguel-cash-out-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/laguna-niguel-cash-out-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.769Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/laguna-niguel-mortgage-broker,https://www.mothebroker.com/areas/laguna-niguel-mortgage-broker,area,app/areas/laguna-niguel-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/laguna-niguel-mortgage-broker,not detected in file,yes,,yes,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/laguna-niguel-mortgage-rates,https://www.mothebroker.com/areas/laguna-niguel-mortgage-rates,area,app/areas/laguna-niguel-mortgage-rates/page.tsx,server component or static,noindex or non-indexable,noindex or non-indexable,none or self if served,direct or helper,yes,"noindex, nofollow",yes,yes,not detected,,no,,yes,yes,"likely yes, server source",not detected,not detected,no local image alt detected,low,P3,noindex
/areas/laguna-niguel-rate-term-refinance,https://www.mothebroker.com/areas/laguna-niguel-rate-term-refinance,area,app/areas/laguna-niguel-rate-term-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/laguna-niguel-rate-term-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.770Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/laguna-woods-mortgage-broker,https://www.mothebroker.com/areas/laguna-woods-mortgage-broker,area,app/areas/laguna-woods-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/laguna-woods-mortgage-broker,not detected in file,yes,,yes,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/lake-forest,https://www.mothebroker.com/areas/lake-forest,area,app/areas/lake-forest/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/lake-forest,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.426Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/lake-forest-cash-out-refinance,https://www.mothebroker.com/areas/lake-forest-cash-out-refinance,area,app/areas/lake-forest-cash-out-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/lake-forest-cash-out-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.771Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/lake-forest-rate-term-refinance,https://www.mothebroker.com/areas/lake-forest-rate-term-refinance,area,app/areas/lake-forest-rate-term-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/lake-forest-rate-term-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.771Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/lakewood-wa,https://www.mothebroker.com/areas/lakewood-wa,area,app/areas/lakewood-wa/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/lakewood-wa,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.426Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/long-beach,https://www.mothebroker.com/areas/long-beach,area,app/areas/long-beach/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/long-beach,direct or helper,,,yes,yes,not detected,,yes,2026-04-15T23:52:40.476Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/marysville,https://www.mothebroker.com/areas/marysville,area,app/areas/marysville/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/marysville,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.426Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/mission-viejo,https://www.mothebroker.com/areas/mission-viejo,area,app/areas/mission-viejo/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/mission-viejo,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.427Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/mission-viejo-cash-out-refinance,https://www.mothebroker.com/areas/mission-viejo-cash-out-refinance,area,app/areas/mission-viejo-cash-out-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/mission-viejo-cash-out-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.771Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/mission-viejo-mortgage-broker,https://www.mothebroker.com/areas/mission-viejo-mortgage-broker,area,app/areas/mission-viejo-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/mission-viejo-mortgage-broker,direct or helper,,,yes,yes,yes,,yes,2026-04-08T05:12:25.706Z,yes,not detected,"likely yes, server source",yes,yes,no local image alt detected,low,P3,indexable
/areas/mission-viejo-rate-term-refinance,https://www.mothebroker.com/areas/mission-viejo-rate-term-refinance,area,app/areas/mission-viejo-rate-term-refinance/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/mission-viejo-rate-term-refinance,not detected in file,,,yes,not detected,not detected,,yes,2026-03-31T05:12:20.771Z,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/modesto,https://www.mothebroker.com/areas/modesto,area,app/areas/modesto/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/modesto,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.427Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/moreno-valley,https://www.mothebroker.com/areas/moreno-valley,area,app/areas/moreno-valley/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/moreno-valley,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.427Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/murrieta,https://www.mothebroker.com/areas/murrieta,area,app/areas/murrieta/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/murrieta,direct or helper,,,yes,yes,not detected,,yes,2026-04-15T23:52:40.476Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/newport-beach-neighborhoods,https://www.mothebroker.com/areas/newport-beach-neighborhoods,area,app/areas/newport-beach-neighborhoods/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/newport-beach-neighborhoods,direct or helper,yes,,yes,yes,not detected,FAQPage|Question|Answer,yes,2026-04-15T17:12:44.833Z,yes,yes,"likely yes, server source",yes,not detected,no local image alt detected,low,P2,indexable
/areas/oceanside,https://www.mothebroker.com/areas/oceanside,area,app/areas/oceanside/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/oceanside,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.428Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/olympia,https://www.mothebroker.com/areas/olympia,area,app/areas/olympia/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/olympia,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.428Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/orange-mortgage-broker,https://www.mothebroker.com/areas/orange-mortgage-broker,area,app/areas/orange-mortgage-broker/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/orange-mortgage-broker,not detected in file,yes,,yes,not detected,not detected,,no,,not detected,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/rancho-cordova,https://www.mothebroker.com/areas/rancho-cordova,area,app/areas/rancho-cordova/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/rancho-cordova,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.428Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
/areas/rancho-santa-margarita,https://www.mothebroker.com/areas/rancho-santa-margarita,area,app/areas/rancho-santa-margarita/page.tsx,server component or static,indexable,indexable,https://www.mothebroker.com/areas/rancho-santa-margarita,direct or helper,,,yes,yes,not detected,,yes,2026-04-16T01:13:27.429Z,yes,not detected,"likely yes, server source",not detected,not detected,no local image alt detected,low,P2,indexable
